date_valo,code_titre,famille_source,prix_moteur,prix_manar,ecart,status,date_emission,date_echeance,maturite_residuelle,capital_restant_du,taux_coupon,coupon_couru,dirty_price,clean_price,ytm,courbe_utilisee,pilier_avant,pilier_apres,taux_pilier_avant,taux_pilier_apres,taux_interpole,methode_interpolation,zone_CT_LT,nb_flux_futurs,prochain_flux_date,prochain_flux_montant,somme_flux_actualises,cause_probable,commentaire_diagnostic,type_taux_FIX_REV,type_amortissement_AA_ZC_TA,periodicite_AN_SEM_TRI,base_calcul,categorie_ORD_OBL_FPCT_BDT_BSF_CD,piliers_CT_LT_disponibles,moteur_ATP_ZC,detail_flux_json,point_CT,point_LT,passage_CT_LT_transition,joint_J
2026-01-02,2151,bam_piliers,101444.55463,6765.28,94679.2746,ECART,20/10/2011,2026-10-20,291.0,100000.0,5.11,1036.0,102480.55463,101444.55463,0.0447,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-01-02),255.0,255.0,0.0225,0.0228906825496753,0.022701783652316395,Entre MM dernier pilier CT et formule ((1+r_LT)^(k/365)-1)*360/k ; pas d’interpolation linéaire simple sur une seule grille.,TRANSITION_CT_to_LT,1,2026-10-20,105110.0,101508.5892562399,problème zéro-coupon,"Moteur ZC : écarts souvent liés à maille courbe, spread ou periodicité coupon.",FIX,ZC,AN,R/R,ORD,"CT[1,73,136,255];LT[437,1564,1928,3454,4945,7164,10699]",ATP,"[{""date"": ""2026-10-20"", ""cash"": 105110.0, ""df"": 0.9657367448981057, ""pv"": 101508.5892562399}]",False,False,True,255.0
2026-03-06,2151,bam_piliers,102185.41924,6814.71,95370.7092,ECART,20/10/2011,2026-10-20,228.0,100000.0,5.11,1918.0,104103.41924,102185.41924,0.04519,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-03-06),192.0,192.0,0.023,0.023448264792397255,0.023191085434820454,Entre MM dernier pilier CT et formule ((1+r_LT)^(k/365)-1)*360/k ; pas d’interpolation linéaire simple sur une seule grille.,TRANSITION_CT_to_LT,1,2026-10-20,105110.0,102247.70789042958,problème zéro-coupon,"Moteur ZC : écarts souvent liés à maille courbe, spread ou periodicité coupon. | Δtaux_interp=0.00048930; Δcoupon_couru=882.000000; signe_ecart même sens=True; stabilité |Δécart|=691.4346",FIX,ZC,AN,R/R,ORD,"CT[1,73,164,192];LT[374,1501,1865,3391,4882,7101,10636]",ATP,"[{""date"": ""2026-10-20"", ""cash"": 105110.0, ""df"": 0.9727686032768488, ""pv"": 102247.70789042958}]",False,False,True,192.0
2026-01-02,5061,bam_piliers,104292.140788,77872.12,26420.0208,ECART,15/11/2017,2035-12-24,3643.0,100000.0,4.03,99.3699,104391.510688,104292.140788,0.03524,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-01-02),3454.0,4945.0,0.0294,0.0321,0.02974225352112676,vba_interpolate_extrapolate(grille_LT),LT,10,2026-12-24,4030.0,104275.11518239483,problème FPCT,FPCT : flux/jouissance/prorata spécifiques.,FIX,TA,TRI,R/R,FPCT,"CT[1,73,136,255];LT[437,1564,1928,3454,4945,7164,10699]",ATP,"[{""date"": ""2026-12-24"", ""cash"": 4030.0, ""df"": 0.9667848384153203, ""pv"": 3896.1428988137404}, {""date"": ""2027-12-24"", ""cash"": 4030.0, ""df"": 0.9338750805758281, ""pv"": 3763.5165747205874}, {""date"": ""2028-12-24"", ""cash"": 4030.0, ""df"": 0.9019999936055942, ""pv"": 3635.059974230545}, {""date"": ""2029-12-24"", ""cash"": 4030.0, ""df"": 0.8712955388176599, ""pv"": 3511.3210214351693}, {""date"": ""2030-12-24"", ""cash"": 4030.0, ""df"": 0.8416362764360534, ""pv"": 3391.7941940372953}, {""date"": ""2031-12-24"", ""cash"": 4030.0, ""df"": 0.8129866276767257, ""pv"": 3276.3361095372047}, {""date"": ""2032-12-24"", ""cash"": 4030.0, ""df"": 0.7852377134998378, ""pv"": 3164.5079854043465}, {""date"": ""2033-12-24"", ""cash"": 4030.0, ""df"": 0.7585078952705053, ""pv"": 3056.7868179401366}, {""date"": ""2034-12-24"", ""cash"": 4030.0, ""df"": 0.7326879711665946, ""pv"": 2952.732523801376}, {""date"": ""2035-12-24"", ""cash"": 104030.0, ""df"": 0.7077469680137887, ""pv"": 73626.91708247444}]",False,True,False,255.0
2026-03-06,5061,bam_piliers,104200.083225,77915.73,26284.3532,ECART,15/11/2017,2035-12-24,3580.0,100000.0,4.03,794.9589,104995.042125,104200.083225,0.0361,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-03-06),3391.0,4882.0,0.030299999999999997,0.0327,0.030604225352112675,vba_interpolate_extrapolate(grille_LT),LT,10,2026-12-24,4030.0,104182.67792788397,problème FPCT,FPCT : flux/jouissance/prorata spécifiques. | Δtaux_interp=0.00086197; Δcoupon_couru=695.589000; signe_ecart même sens=True; stabilité |Δécart|=135.6676,FIX,TA,TRI,R/R,FPCT,"CT[1,73,164,192];LT[374,1501,1865,3391,4882,7101,10636]",ATP,"[{""date"": ""2026-12-24"", ""cash"": 4030.0, ""df"": 0.971933305958858, ""pv"": 3916.8912230141977}, {""date"": ""2027-12-24"", ""cash"": 4030.0, ""df"": 0.9380690145341742, ""pv"": 3780.4181285727223}, {""date"": ""2028-12-24"", ""cash"": 4030.0, ""df"": 0.9052966658596266, ""pv"": 3648.3455634142956}, {""date"": ""2029-12-24"", ""cash"": 4030.0, ""df"": 0.8737541413566515, ""pv"": 3521.2291896673055}, {""date"": ""2030-12-24"", ""cash"": 4030.0, ""df"": 0.8433106276967971, ""pv"": 3398.5418296180924}, {""date"": ""2031-12-24"", ""cash"": 4030.0, ""df"": 0.8139278329280929, ""pv"": 3280.1291667002142}, {""date"": ""2032-12-24"", ""cash"": 4030.0, ""df"": 0.7854924765488139, ""pv"": 3165.5346804917203}, {""date"": ""2033-12-24"", ""cash"": 4030.0, ""df"": 0.7581241931751895, ""pv"": 3055.240498496014}, {""date"": ""2034-12-24"", ""cash"": 4030.0, ""df"": 0.7317094809141873, ""pv"": 2948.789208084175}, {""date"": ""2035-12-24"", ""cash"": 104030.0, ""df"": 0.7062151152535348, ""pv"": 73467.55843982522}]",False,True,False,192.0
2026-01-02,5106,bam_piliers,101170.394227,32587.5,68582.8942,ECART,09/12/2019,2031-06-24,1999.0,100000.0,3.03,1593.863,102764.257227,101170.394227,0.03113,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-01-02),1928.0,3454.0,0.0265,0.0294,0.026634927916120574,vba_interpolate_extrapolate(grille_LT),LT,6,2026-06-24,3030.0,101162.39160380862,problème FPCT,FPCT : flux/jouissance/prorata spécifiques.,FIX,TA,TRI,R/R,FPCT,"CT[1,73,136,255];LT[437,1564,1928,3454,4945,7164,10699]",ATP,"[{""date"": ""2026-06-24"", ""cash"": 3030.0, ""df"": 0.9855752809088023, ""pv"": 2986.293101153671}, {""date"": ""2027-06-24"", ""cash"": 3030.0, ""df"": 0.955820586064611, ""pv"": 2896.1363757757713}, {""date"": ""2028-06-24"", ""cash"": 3030.0, ""df"": 0.9268863410481286, ""pv"": 2808.46561337583}, {""date"": ""2029-06-24"", ""cash"": 3030.0, ""df"": 0.8989034758450714, ""pv"": 2723.677531810566}, {""date"": ""2030-06-24"", ""cash"": 3030.0, ""df"": 0.8717654183711766, ""pv"": 2641.449217664665}, {""date"": ""2031-06-24"", ""cash"": 103030.0, ""df"": 0.8454466637292839, ""pv"": 87106.36976402812}]",False,True,False,255.0
2026-03-06,5106,bam_piliers,100907.922329,32671.21,68236.7123,ECART,09/12/2019,2031-06-24,1936.0,100000.0,3.03,2116.8493,103024.771629,100907.922329,0.0328,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-03-06),1865.0,3391.0,0.0282,0.030299999999999997,0.028297706422018346,vba_interpolate_extrapolate(grille_LT),LT,6,2026-06-24,3030.0,100899.52256668075,problème FPCT,FPCT : flux/jouissance/prorata spécifiques. | Δtaux_interp=0.00166278; Δcoupon_couru=522.986300; signe_ecart même sens=True; stabilité |Δécart|=346.1819,FIX,TA,TRI,R/R,FPCT,"CT[1,73,164,192];LT[374,1501,1865,3391,4882,7101,10636]",ATP,"[{""date"": ""2026-06-24"", ""cash"": 3030.0, ""df"": 0.9903208687453063, ""pv"": 3000.6722322982782}, {""date"": ""2027-06-24"", ""cash"": 3030.0, ""df"": 0.9588699348812029, ""pv"": 2905.3759026900448}, {""date"": ""2028-06-24"", ""cash"": 3030.0, ""df"": 0.928335742317296, ""pv"": 2812.8572992214067}, {""date"": ""2029-06-24"", ""cash"": 3030.0, ""df"": 0.8988533523598916, ""pv"": 2723.5256576504717}, {""date"": ""2030-06-24"", ""cash"": 3030.0, ""df"": 0.8703072737799106, ""pv"": 2637.031039553129}, {""date"": ""2031-06-24"", ""cash"": 103030.0, ""df"": 0.8426677708945688, ""pv"": 86820.06043526743}]",False,True,False,192.0
2026-01-02,5107,bam_piliers,99555.882904,101095.08,-1539.1971,ECART,09/12/2019,2035-12-24,3643.0,100000.0,3.51,86.5479,99642.430804,99555.882904,0.03574,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-01-02),3454.0,4945.0,0.0294,0.0321,0.02974225352112676,vba_interpolate_extrapolate(grille_LT),LT,10,2026-12-24,3510.0,99539.16617258108,problème FPCT,FPCT : flux/jouissance/prorata spécifiques.,FIX,TA,TRI,R/R,FPCT,"CT[1,73,136,255];LT[437,1564,1928,3454,4945,7164,10699]",ATP,"[{""date"": ""2026-12-24"", ""cash"": 3510.0, ""df"": 0.9663296315481601, ""pv"": 3391.817006734042}, {""date"": ""2027-12-24"", ""cash"": 3510.0, ""df"": 0.9329847563559966, ""pv"": 3274.7764948095482}, {""date"": ""2028-12-24"", ""cash"": 3510.0, ""df"": 0.90070384410745, ""pv"": 3161.4704928171495}, {""date"": ""2029-12-24"", ""cash"": 3510.0, ""df"": 0.8696235002099464, ""pv"": 3052.378485736912}, {""date"": ""2030-12-24"", ""cash"": 3510.0, ""df"": 0.839615637331711, ""pv"": 2947.0508870343056}, {""date"": ""2031-12-24"", ""cash"": 3510.0, ""df"": 0.8106432476603306, ""pv"": 2845.3577992877604}, {""date"": ""2032-12-24"", ""cash"": 3510.0, ""df"": 0.7825953043640148, ""pv"": 2746.909518317692}, {""date"": ""2033-12-24"", ""cash"": 3510.0, ""df"": 0.7555904998976719, ""pv"": 2652.1226546408284}, {""date"": ""2034-12-24"", ""cash"": 3510.0, ""df"": 0.729517542913928, ""pv"": 2560.606575627887}, {""date"": ""2035-12-24"", ""cash"": 103510.0, ""df"": 0.704344278403777, ""pv"": 72906.67625757496}]",False,True,False,255.0
2026-03-06,5107,bam_piliers,99465.297632,100905.85,-1440.5524,ECART,09/12/2019,2035-12-24,3580.0,100000.0,3.51,692.3836,100157.681232,99465.297632,0.0366,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-03-06),3391.0,4882.0,0.030299999999999997,0.0327,0.030604225352112675,vba_interpolate_extrapolate(grille_LT),LT,10,2026-12-24,3510.0,99448.21322950935,problème FPCT,FPCT : flux/jouissance/prorata spécifiques. | Δtaux_interp=0.00086197; Δcoupon_couru=605.835700; signe_ecart même sens=True; stabilité |Δécart|=98.6447,FIX,TA,TRI,R/R,FPCT,"CT[1,73,164,192];LT[374,1501,1865,3391,4882,7101,10636]",ATP,"[{""date"": ""2026-12-24"", ""cash"": 3510.0, ""df"": 0.9715569570294399, ""pv"": 3410.164919173334}, {""date"": ""2027-12-24"", ""cash"": 3510.0, ""df"": 0.9372534796733937, ""pv"": 3289.759713653612}, {""date"": ""2028-12-24"", ""cash"": 3510.0, ""df"": 0.9040721407639426, ""pv"": 3173.2932140814387}, {""date"": ""2029-12-24"", ""cash"": 3510.0, ""df"": 0.8721513995407512, ""pv"": 3061.2514123880364}, {""date"": ""2030-12-24"", ""cash"": 3510.0, ""df"": 0.8413577074481489, ""pv"": 2953.1655531430024}, {""date"": ""2031-12-24"", ""cash"": 3510.0, ""df"": 0.8116512709320364, ""pv"": 2848.8959609714475}, {""date"": ""2032-12-24"", ""cash"": 3510.0, ""df"": 0.7829165940477558, ""pv"": 2748.0372451076228}, {""date"": ""2033-12-24"", ""cash"": 3510.0, ""df"": 0.7552735809837505, ""pv"": 2651.0102692529645}, {""date"": ""2034-12-24"", ""cash"": 3510.0, ""df"": 0.7286065801502514, ""pv"": 2557.4090963273825}, {""date"": ""2035-12-24"", ""cash"": 103510.0, ""df"": 0.7028811307642788, ""pv"": 72755.2258454105}]",False,True,False,192.0
2026-01-02,5116,bam_piliers,95183.89127,56196.48,38987.4113,ECART,11/06/2021,2033-12-24,2913.0,100000.0,2.63,64.8493,95248.74057,95183.89127,0.03337,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-01-02),1928.0,3454.0,0.0265,0.0294,0.028371887287024902,vba_interpolate_extrapolate(grille_LT),LT,8,2026-12-24,2630.0,95168.49126104264,problème FPCT,FPCT : flux/jouissance/prorata spécifiques.,FIX,TA,TRI,R/R,FPCT,"CT[1,73,136,255];LT[437,1564,1928,3454,4945,7164,10699]",ATP,"[{""date"": ""2026-12-24"", ""cash"": 2630.0, ""df"": 0.9684911684622283, ""pv"": 2547.1317730556602}, {""date"": ""2027-12-24"", ""cash"": 2630.0, ""df"": 0.9372162618057699, ""pv"": 2464.8787685491748}, {""date"": ""2028-12-24"", ""cash"": 2630.0, ""df"": 0.9068697364343105, ""pv"": 2385.0674068222365}, {""date"": ""2029-12-24"", ""cash"": 2630.0, ""df"": 0.8775847338652278, ""pv"": 2308.047850065549}, {""date"": ""2030-12-24"", ""cash"": 2630.0, ""df"": 0.8492454143871294, ""pv"": 2233.5154398381505}, {""date"": ""2031-12-24"", ""cash"": 2630.0, ""df"": 0.8218212396209775, ""pv"": 2161.389860203171}, {""date"": ""2032-12-24"", ""cash"": 2630.0, ""df"": 0.7952111389267039, ""pv"": 2091.405295377231}, {""date"": ""2033-12-24"", ""cash"": 102630.0, ""df"": 0.7695318607340101, ""pv"": 78977.05486713146}]",False,True,False,255.0
2026-03-06,5116,bam_piliers,94945.886196,56244.22,38701.6662,ECART,11/06/2021,2033-12-24,2850.0,100000.0,2.63,518.7945,95464.680696,94945.886196,0.03456,BAM MAR_JJ / HISTO_COURBE_TAUX (2026-03-06),1865.0,3391.0,0.0282,0.030299999999999997,0.029555504587155963,vba_interpolate_extrapolate(grille_LT),LT,8,2026-12-24,2630.0,94929.9951413639,problème FPCT,FPCT : flux/jouissance/prorata spécifiques. | Δtaux_interp=0.00118362; Δcoupon_couru=453.945200; signe_ecart même sens=True; stabilité |Δécart|=285.7451,FIX,TA,TRI,R/R,FPCT,"CT[1,73,164,192];LT[374,1501,1865,3391,4882,7101,10636]",ATP,"[{""date"": ""2026-12-24"", ""cash"": 2630.0, ""df"": 0.9730945206724451, ""pv"": 2559.2385893685305}, {""date"": ""2027-12-24"", ""cash"": 2630.0, ""df"": 0.940587806093842, ""pv"": 2473.745930026804}, {""date"": ""2028-12-24"", ""cash"": 2630.0, ""df"": 0.9090823684095564, ""pv"": 2390.8866289171333}, {""date"": ""2029-12-24"", ""cash"": 2630.0, ""df"": 0.878714012149664, ""pv"": 2311.0178519536166}, {""date"": ""2030-12-24"", ""cash"": 2630.0, ""df"": 0.8493601261885866, ""pv"": 2233.817131875983}, {""date"": ""2031-12-24"", ""cash"": 2630.0, ""df"": 0.8209868216329518, ""pv"": 2159.1953408946633}, {""date"": ""2032-12-24"", ""cash"": 2630.0, ""df"": 0.793487476031191, ""pv"": 2086.872061962032}, {""date"": ""2033-12-24"", ""cash"": 102630.0, ""df"": 0.7669806256101057, ""pv"": 78715.22160636514}]",False,True,False,192.0
