valuation_date,code,valo_manar
2026-03-26,9748,100.41
2026-03-26,9580,8342.07
2026-03-26,201937,100455.31
2026-03-26,5151,100024.48
2026-03-26,5122,40564.44
2026-03-26,5116,53193.0
2026-03-26,5061,73369.22
2026-03-26,9714,100556.88
2026-03-26,9240,27018.08
2026-03-26,5106,29757.86
2026-03-26,101005,100111.97
2026-03-26,9487,75765.34
2026-03-26,9518,71573.4
2026-03-26,5119,47067.32
2026-03-26,9402,61299.39
2026-03-26,9461,34611.36
2026-03-26,9202,237.37
2026-03-26,2151,6828.93
2026-03-26,153118,100173.12
2026-03-26,100931,103334.02
2026-03-26,9091,108944.38
2026-03-26,100954,100875.49
2026-03-26,100992,101865.15
2026-03-26,201929,100315.01
2026-03-26,201873,113744.68
2026-03-26,9743,98792.82
2026-03-26,201914,97234.26
2026-03-26,9704,99971.19
2026-03-26,101018,99398.22
2026-03-26,9600,103782.02
2026-03-26,201837,107583.73
2026-03-26,101020,99902.67
2026-03-26,101015,99067.77
2026-03-26,201853,102099.74
2026-03-26,201918,100996.11
2026-03-26,201865,107952.06
2026-03-26,101013,99083.11
2026-03-26,100958,101996.15
2026-03-26,153119,100960.73
2026-03-26,201882,100212.07
2026-03-26,100994,101514.1
2026-03-26,9707,100569.29
2026-03-26,153098,101161.77
2026-03-26,152983,102266.17
2026-03-26,100984,103416.54
2026-03-26,100993,101089.85
2026-03-26,9647,106400.63
2026-03-26,100997,101723.7
2026-03-26,9754,101024.41
2026-03-26,152898,100800.37
2026-03-26,153158,100042.64
2026-03-26,9691,98294.43
2026-03-26,9642,100126.11
2026-03-26,201889,102342.84
2026-03-26,100953,102388.87
2026-03-26,201872,110678.13
2026-03-26,9602,100942.51
2026-03-26,201938,97866.88
2026-03-26,100957,101752.06
2026-03-26,9703,98971.47
2026-03-26,9625,103192.87
2026-03-26,100969,101318.65
2026-03-26,100979,100326.07
2026-03-26,9705,102129.38
2026-03-26,100995,101114.68
2026-03-26,9765,97645.12
2026-03-26,153016,104559.6
2026-03-26,101011,99714.88
2026-03-26,101001,101233.67
2026-03-26,201840,103527.52
2026-03-26,9643,100691.02
2026-03-26,5166,100558.6
2026-03-26,152364,102174.74
2026-03-26,153155,100055.47
2026-03-26,100970,104603.08
2026-03-26,201848,102484.53
2026-03-26,9697,103848.32
2026-03-26,100963,101654.17
2026-03-26,9757,100069.78
2026-03-26,9708,102018.96
2026-03-26,9692,101539.93
2026-03-26,141174,102686.71
2026-03-26,9685,88261.26
2026-03-26,100971,100890.74
2026-03-26,101006,100577.68
2026-03-26,101012,100323.66
2026-03-26,101023,99320.48
2026-03-26,9627,102034.72
2026-03-26,9607,105521.74
2026-03-26,9626,104558.79
2026-03-26,100937,69225.81
2026-03-26,101021,100594.51
2026-03-26,201926,100398.42
2026-03-26,201892,102963.31
2026-03-26,9651,101096.33
2026-03-26,9735,97915.66
2026-03-26,152235,103146.71
2026-03-26,152951,103040.19
2026-03-26,201835,103005.76
2026-03-26,141187,100053.53
2026-03-26,201898,99294.36
2026-03-26,9689,100051.14
2026-03-26,100999,99491.02
2026-03-26,9752,97737.44
2026-03-26,201236,108958.5
2026-03-26,9614,107048.07
2026-03-26,9411,103014.78
2026-03-26,9424,75571.47
2026-03-26,9394,108707.02
2026-03-26,2185,104575.32
2026-03-26,5129,105326.14
2026-03-26,9070,101775.64
2026-03-26,9087,103329.18
2026-03-26,9149,6830.1
2026-03-26,9167,106156.15
2026-03-26,9253,112498.6
2026-03-26,9285,102927.82
2026-03-26,9300,100760.88
2026-03-26,9302,100789.09
2026-03-26,9307,100960.41
2026-03-26,9313,104874.4
2026-03-26,9329,106232.85
2026-03-26,9345,20227.79
2026-03-26,9346,20448.9
2026-03-26,9352,100789.64
2026-03-26,9360,101858.38
2026-03-26,9362,102495.52
2026-03-26,9363,106940.63
2026-03-26,9369,104116.89
2026-03-26,9385,102601.61
2026-03-26,9388,100681.18
2026-03-26,9389,102921.62
2026-03-26,9390,101024.82
2026-03-26,9396,40910.43
2026-03-26,9397,102154.43
2026-03-26,9398,104394.34
2026-03-26,9399,103401.11
2026-03-26,9408,101997.85
2026-03-26,9425,100092.07
2026-03-26,9428,100569.87
2026-03-26,9429,101013.28
2026-03-26,9431,20136.78
2026-03-26,9434,62.49
2026-03-26,9436,98696.49
2026-03-26,9444,102422.59
2026-03-26,9452,51263.14
2026-03-26,9455,103074.57
2026-03-26,9488,101073.02
2026-03-26,9489,100089.55
2026-03-26,9491,100609.72
2026-03-26,9492,100554.73
2026-03-26,9499,96909.5
2026-03-26,9502,20420.25
2026-03-26,9523,99141.67
2026-03-26,9524,100788.03
2026-03-26,9529,97284.41
2026-03-26,9530,98995.36
2026-03-26,9532,73708.03
2026-03-26,9534,94301.36
2026-03-26,9535,98418.27
2026-03-26,9542,103192.28
2026-03-26,9547,101996.64
2026-03-26,9549,102805.51
2026-03-26,9567,101003.43
2026-03-26,9571,100939.86
2026-03-26,9572,100438.35
2026-03-26,9576,100046.07
2026-03-26,9582,102908.58
2026-03-26,100844,101978.2
2026-03-26,100856,101358.84
2026-03-26,100899,103293.41
2026-03-26,100902,102813.14
2026-03-26,100904,103809.46
2026-03-26,100905,102687.34
2026-03-26,201350,128536.96
2026-03-26,201379,106526.24
2026-03-26,201386,109588.02
2026-03-26,201408,102968.99
2026-03-26,201409,116872.7
2026-03-26,201426,103892.54
2026-03-26,201432,102711.77
2026-03-26,201465,103264.75
2026-03-26,201516,105825.07
2026-03-26,201519,103798.39
2026-03-26,201524,107277.76
2026-03-26,201535,104077.63
2026-03-26,201536,104301.43
2026-03-26,201551,101218.51
2026-03-26,201552,100916.01
2026-03-26,201553,102747.07
2026-03-26,201554,99823.07
2026-03-26,201627,93301.88
2026-03-26,201630,101889.38
2026-03-26,201631,96839.79
2026-03-26,201646,93413.67
2026-03-26,201651,98028.17
2026-03-26,201657,100621.83
2026-03-26,201671,101115.84
2026-03-26,201677,97766.94
2026-03-26,201678,100148.26
2026-03-26,201791,106082.12
2026-03-26,201792,109666.73
2026-03-26,201793,117477.5
2026-03-26,201808,117645.67
2026-03-26,201809,124961.74
2026-03-26,201821,110899.66
2026-03-26,201822,113106.03
2026-03-26,152053,102966.86
2026-03-26,152236,102814.14
2026-03-26,152397,101629.55
2026-03-26,152398,100677.75
2026-03-26,152444,99283.34
2026-03-26,152473,99674.1
2026-03-26,152504,102127.55
2026-03-26,152806,103658.03
2026-03-26,200792,104678.47
2026-03-26,200802,111437.15
2026-03-26,200999,109326.29
2026-03-26,201093,106055.85
2026-03-26,201317,113281.95
2026-03-26,201328,124072.29
2026-03-26,201331,111592.68
2026-03-26,201344,118716.1
2026-03-26,SEK,1.0
2026-03-26,GBP,12.48
2026-03-26,CAD,6.76
2026-03-26,JPY,0.06
2026-03-26,USD,9.32
2026-03-26,EURO,10.81
2026-03-26,TND,3.19
2026-03-26,XS2080771806,868.92
2026-03-26,XS2355149316,926.18
2026-03-26,XS2239830222,1013.48
2026-03-26,XS2270576965,872.71
2026-03-26,XS2595028700,1064.01
2026-03-26,XS2595028452,1021.23
2026-03-26,XS2270576619,967.46
2026-03-26,XS2239829216,933.51
2026-03-26,XS2810168737,1072.34
2026-03-26,XS2810168810,1095.71
2026-03-26,XS1061043367,1043.84
2026-03-26,XS0864259717,946.04
2026-03-26,XS3041270664,1035.62
2026-03-26,XS3040573191,1040.17
2026-03-26,XS3040572979,1044.74
2026-03-26,XS2270577344,711.22
2026-03-26,9677,99474.17
2026-03-26,101029,100268.41
2026-03-26,201836,115684.86
2026-03-26,9686,101609.8
2026-03-26,152880,100115.35
2026-03-26,153108,101307.83
2026-03-26,201913,101087.84
2026-03-26,153131,100057.59
2026-03-26,9644,101781.93
2026-03-26,152932,103247.8
2026-03-26,101032,99618.86
2026-03-26,9756,100067.31
2026-03-26,100945,102897.47
2026-03-26,5156,100728.94
2026-03-26,9619,101678.8
2026-03-26,9637,103234.86
2026-03-26,5172,100811.72
2026-03-26,201905,96998.79
2026-03-26,201935,100101.42
2026-03-26,100985,102726.81
2026-03-26,152435,100914.52
2026-03-26,100986,102718.03
2026-03-26,201763,100626.71
2026-03-26,152931,104083.49
2026-03-26,100962,101638.83
2026-03-26,153146,100560.57
2026-03-26,201906,101506.61
2026-03-26,153100,101532.03
2026-03-26,153125,99502.94
2026-03-26,100972,100642.63
2026-03-26,9639,101240.33
2026-03-26,201868,101263.54
2026-03-26,201941,99557.94
2026-03-26,100964,101412.25
2026-03-26,153078,101074.97
2026-03-26,9764,100893.52
2026-03-26,153101,101198.55
2026-03-26,9653,100624.46
2026-03-26,5167,101241.34
2026-03-26,9596,116168.52
2026-03-26,101030,99696.15
2026-03-26,152877,101175.48
2026-03-26,201939,99919.75
2026-03-26,9652,100588.46
2026-03-26,9702,102079.08
2026-03-26,9753,97503.68
2026-03-26,101010,100792.16
2026-03-26,153024,104274.04
2026-03-26,9660,100906.28
2026-03-26,201854,114430.39
2026-03-26,100977,100393.43
2026-03-26,9634,106141.24
2026-03-26,9747,100773.4
2026-03-26,9615,102139.97
2026-03-26,100948,77169.95
2026-03-26,101009,100391.81
2026-03-26,100987,102777.66
2026-03-26,201940,100194.67
2026-03-26,100928,101255.64
2026-03-26,100941,103170.9
2026-03-26,100996,101486.87
2026-03-26,141177,101638.05
2026-03-26,201862,106795.33
2026-03-26,100988,101897.02
2026-03-26,9700,101270.59
2026-03-26,9500,98542.88
2026-03-26,9684,100854.63
2026-03-26,9593,100748.68
2026-03-26,101008,100887.28
2026-03-26,100998,100978.21
2026-03-26,9606,100551.75
2026-03-26,201870,106791.06
2026-03-26,153110,101233.54
2026-03-26,9393,102756.9
2026-03-26,9654,101065.62
2026-03-26,9755,100064.85
2026-03-26,9690,100049.23
2026-03-26,201919,98262.17
2026-03-26,100952,101718.82
2026-03-26,201896,99656.75
2026-03-26,100959,101743.37
2026-03-26,201841,110670.34
2026-03-26,100974,100299.08
2026-03-26,100951,102926.76
2026-03-26,101031,99869.59
2026-03-26,153132,100703.35
2026-03-26,141184,100376.57
2026-03-26,9758,100635.74
2026-03-26,153154,100158.47
2026-03-26,101022,100292.04
2026-03-26,100946,104712.69
2026-03-26,101000,99509.73
2026-03-26,100983,103426.22
2026-03-26,100975,100538.1
2026-03-26,152881,102147.67
2026-03-26,100950,102387.38
2026-03-26,9750,100589.87
2026-03-26,153159,99894.07
2026-03-26,9351,47586.44
2026-03-26,9395,61784.82
2026-03-26,9533,42363.62
2026-03-26,100925,33738.33
2026-03-26,9744,100643.65
2026-03-26,9496,28502.26
2026-03-26,9473,68298.27
2026-03-26,5107,98741.41
2026-03-26,5117,80421.76
2026-03-26,9538,12601.84
2026-03-06,100844,101829.360000
2026-03-06,100856,101226.470000
2026-03-06,100899,103153.570000
2026-03-06,100902,102677.530000
2026-03-06,100904,103794.420000
2026-03-06,100905,102559.830000
2026-03-06,100925,33706.090000
2026-03-06,100928,101163.630000
2026-03-06,100931,103180.100000
2026-03-06,100937,69151.640000
2026-03-06,100941,103026.120000
2026-03-06,100945,102758.100000
2026-03-06,100946,105144.710000
2026-03-06,100948,77165.190000
2026-03-06,100950,102252.680000
2026-03-06,100951,102890.280000
2026-03-06,100952,101580.380000
2026-03-06,100953,102248.060000
2026-03-06,100954,100781.870000
2026-03-06,100957,101629.930000
2026-03-06,100958,102520.440000
2026-03-06,100959,101627.060000
2026-03-06,100962,101518.920000
2026-03-06,100963,101664.920000
2026-03-06,100964,101961.760000
2026-03-06,100969,101347.410000
2026-03-06,100970,104690.630000
2026-03-06,100971,100930.960000
2026-03-06,100972,100554.270000
2026-03-06,100974,100604.910000
2026-03-06,100975,100454.060000
2026-03-06,100977,100314.980000
2026-03-06,100979,100243.100000
2026-03-06,100983,103410.210000
2026-03-06,100984,103360.320000
2026-03-06,100985,102816.270000
2026-03-06,100986,102807.850000
2026-03-06,100987,102698.420000
2026-03-06,100988,102591.790000
2026-03-06,100992,101812.290000
2026-03-06,100993,101312.390000
2026-03-06,100994,101474.450000
2026-03-06,100995,101339.730000
2026-03-06,100996,101639.680000
2026-03-06,100997,101685.690000
2026-03-06,100998,101140.460000
2026-03-06,100999,100280.740000
2026-03-06,101000,100295.990000
2026-03-06,101001,101208.940000
2026-03-06,101005,100615.050000
2026-03-06,101006,100835.690000
2026-03-06,101008,100882.640000
2026-03-06,101009,100600.460000
2026-03-06,101010,100791.440000
2026-03-06,101011,100243.240000
2026-03-06,101012,100548.750000
2026-03-06,101013,99931.610000
2026-03-06,101015,99915.700000
2026-03-06,101018,100270.970000
2026-03-06,101020,100488.310000
2026-03-06,101021,100634.420000
2026-03-06,101022,100567.860000
2026-03-06,101023,99942.350000
2026-03-06,101029,100350.540000
2026-03-06,101030,100040.650000
2026-03-06,101031,99959.560000
2026-03-06,101032,99956.930000
2026-03-06,141174,102536.300000
2026-03-06,141177,101503.800000
2026-03-06,141180,101082.240000
2026-03-06,141184,100259.840000
2026-03-06,152053,102807.720000
2026-03-06,152235,103094.710000
2026-03-06,152236,102750.520000
2026-03-06,152364,102037.510000
2026-03-06,152397,101489.650000
2026-03-06,152398,100823.470000
2026-03-06,152435,100804.270000
2026-03-06,152444,99535.180000
2026-03-06,152473,102137.990000
2026-03-06,152504,101981.560000
2026-03-06,152806,103656.990000
2026-03-06,152877,101095.480000
2026-03-06,152880,100029.290000
2026-03-06,152881,102476.120000
2026-03-06,152898,104376.740000
2026-03-06,152899,103440.090000
2026-03-06,152931,104022.290000
2026-03-06,152932,103104.500000
2026-03-06,152951,102899.250000
2026-03-06,152983,102131.090000
2026-03-06,153016,104410.300000
2026-03-06,153024,104130.060000
2026-03-06,153078,101809.980000
2026-03-06,153098,101140.630000
2026-03-06,153100,101407.800000
2026-03-06,153101,101178.950000
2026-03-06,153108,101190.080000
2026-03-06,153110,101116.740000
2026-03-06,153118,100410.990000
2026-03-06,153119,100857.220000
2026-03-06,153125,100375.030000
2026-03-06,153131,100326.700000
2026-03-06,153132,100605.320000
2026-03-06,153146,100452.520000
2026-03-06,153154,100045.370000
2026-03-06,153155,99984.530000
2026-03-06,153158,99972.550000
2026-03-06,153159,99983.980000
2026-03-06,200792,104553.240000
2026-03-06,200802,113598.950000
2026-03-06,200999,110118.680000
2026-03-06,201093,106004.810000
2026-03-06,201236,109176.410000
2026-03-06,201317,113697.700000
2026-03-06,201328,125847.760000
2026-03-06,201331,112115.030000
2026-03-06,201344,120657.940000
2026-03-06,201350,129051.990000
2026-03-06,201379,107389.820000
2026-03-06,201386,111608.750000
2026-03-06,201408,102847.310000
2026-03-06,201409,117153.190000
2026-03-06,201426,105906.490000
2026-03-06,201432,103818.550000
2026-03-06,201465,103238.860000
2026-03-06,201516,107338.670000
2026-03-06,201519,103972.950000
2026-03-06,201524,109602.600000
2026-03-06,201535,104539.200000
2026-03-06,201536,105982.990000
2026-03-06,201551,103379.990000
2026-03-06,201552,101715.300000
2026-03-06,201553,103371.350000
2026-03-06,201554,101623.160000
2026-03-06,201627,93984.370000
2026-03-06,201630,101763.790000
2026-03-06,201631,98760.670000
2026-03-06,201646,95128.340000
2026-03-06,201651,99089.940000
2026-03-06,201657,100529.990000
2026-03-06,201671,101080.490000
2026-03-06,201677,99021.710000
2026-03-06,201678,100182.150000
2026-03-06,201763,100536.130000
2026-03-06,201791,106212.770000
2026-03-06,201792,111196.870000
2026-03-06,201793,118643.920000
2026-03-06,201808,120090.460000
2026-03-06,201809,126139.270000
2026-03-06,201821,112618.460000
2026-03-06,201822,120365.950000
2026-03-06,201835,102880.610000
2026-03-06,201836,116383.970000
2026-03-06,201837,109333.610000
2026-03-06,201840,104102.830000
2026-03-06,201841,113150.010000
2026-03-06,201848,102369.030000
2026-03-06,201853,101998.810000
2026-03-06,201854,115652.480000
2026-03-06,201862,107552.760000
2026-03-06,201865,109787.150000
2026-03-06,201868,101177.290000
2026-03-06,201870,108931.630000
2026-03-06,201872,110887.830000
2026-03-06,201873,114925.290000
2026-03-06,201882,103297.310000
2026-03-06,201889,103241.460000
2026-03-06,201891,102678.300000
2026-03-06,201892,102951.860000
2026-03-06,201896,101426.360000
2026-03-06,201898,99504.400000
2026-03-06,201905,99060.830000
2026-03-06,201906,101398.890000
2026-03-06,201913,101107.590000
2026-03-06,201914,98428.390000
2026-03-06,201918,100999.880000
2026-03-06,201919,99299.500000
2026-03-06,201926,100478.470000
2026-03-06,201929,100468.600000
2026-03-06,201935,100295.010000
2026-03-06,201937,100339.650000
2026-03-06,201938,99015.200000
2026-03-06,201939,100158.360000
2026-03-06,201940,100134.230000
2026-03-06,201941,99816.990000
2026-03-06,2151,6814.710000
2026-03-06,2185,104676.860000
2026-03-06,5061,77915.730000
2026-03-06,5106,32671.210000
2026-03-06,5107,100905.850000
2026-03-06,5116,56244.220000
2026-03-06,5117,83081.380000
2026-03-06,5119,53790.130000
2026-03-06,5122,43798.950000
2026-03-06,5129,106559.870000
2026-03-06,5151,100598.470000
2026-03-06,5156,100579.770000
2026-03-06,5166,100399.180000
2026-03-06,5167,101346.590000
2026-03-06,5172,100824.120000
2026-03-06,9070,101572.560000
2026-03-06,9087,103092.250000
2026-03-06,9091,109423.210000
2026-03-06,9149,6822.080000
2026-03-06,9167,106099.210000
2026-03-06,9202,237.140000
2026-03-06,9240,27061.790000
2026-03-06,9253,114338.490000
2026-03-06,9285,102767.610000
2026-03-06,9300,100638.450000
2026-03-06,9302,100658.160000
2026-03-06,9307,100791.960000
2026-03-06,9313,111307.180000
2026-03-06,9329,105996.740000
2026-03-06,9345,20201.970000
2026-03-06,9346,20437.210000
2026-03-06,9351,47856.080000
2026-03-06,9352,100681.990000
2026-03-06,9360,101893.210000
2026-03-06,9362,102331.260000
2026-03-06,9363,108292.840000
2026-03-06,9369,104248.700000
2026-03-06,9385,102866.560000
2026-03-06,9388,100576.710000
2026-03-06,9389,103073.560000
2026-03-06,9390,100823.480000
2026-03-06,9393,102619.600000
2026-03-06,9394,110106.270000
2026-03-06,9395,62185.420000
2026-03-06,9396,40845.770000
2026-03-06,9397,102001.750000
2026-03-06,9398,104690.720000
2026-03-06,9399,103151.490000
2026-03-06,9402,61733.050000
2026-03-06,9408,102372.810000
2026-03-06,9411,104340.560000
2026-03-06,9424,76480.770000
2026-03-06,9425,100691.470000
2026-03-06,9428,101035.980000
2026-03-06,9429,100814.580000
2026-03-06,9431,20116.560000
2026-03-06,9434,62.640000
2026-03-06,9436,99957.970000
2026-03-06,9444,103147.590000
2026-03-06,9452,51355.760000
2026-03-06,9455,102819.330000
2026-03-06,9461,34522.860000
2026-03-06,9473,68948.460000
2026-03-06,9487,75650.480000
2026-03-06,9488,100868.580000
2026-03-06,9489,100122.890000
2026-03-06,9491,100499.550000
2026-03-06,9492,100456.320000
2026-03-06,9496,28492.850000
2026-03-06,9499,100986.180000
2026-03-06,9500,99677.670000
2026-03-06,9502,20385.210000
2026-03-06,9518,72248.640000
2026-03-06,9523,99378.930000
2026-03-06,9524,100567.390000
2026-03-06,9529,98246.490000
2026-03-06,9530,99278.080000
2026-03-06,9532,73632.670000
2026-03-06,9533,58200.740000
2026-03-06,9534,99842.550000
2026-03-06,9535,101948.980000
2026-03-06,9538,12582.990000
2026-03-06,9542,102957.310000
2026-03-06,9547,101837.230000
2026-03-06,9549,102572.150000
2026-03-06,9567,100809.840000
2026-03-06,9571,100750.530000
2026-03-06,9572,100245.400000
2026-03-06,9576,105018.410000
2026-03-06,9580,16795.870000
2026-03-06,9582,102672.630000
2026-03-06,9593,100636.990000
2026-03-06,9596,117028.010000
2026-03-06,9600,104705.080000
2026-03-06,9602,100758.060000
2026-03-06,9606,100455.070000
2026-03-06,9607,105870.690000
2026-03-06,9614,108634.870000
2026-03-06,9615,101984.270000
2026-03-06,9619,101537.530000
2026-03-06,9625,102960.110000
2026-03-06,9626,105031.630000
2026-03-06,9627,101890.940000
2026-03-06,9634,108286.740000
2026-03-06,9637,104843.620000
