code,valo_260326,prix_arrondi_260326,ecart_260326,profil_260326,source_prix_260326,source_ecart_260326,valo_260306,prix_arrondi_260306,ecart_260306,profil_260306,source_prix_260306,source_ecart_260306,delta_ecart_premier_vs_second,note
100844,101978.200000,101978.200000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101829.360000,101829.360000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100856,101358.840000,101358.840000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101226.470000,101226.470000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100899,103293.410000,103293.410000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",103153.570000,103153.570000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100902,102813.140000,102813.140000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102677.530000,102677.530000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100904,103809.460000,103809.460000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",103794.420000,103794.420000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100905,102687.340000,102687.340000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102559.830000,102559.830000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100925,33738.330000,33738.310000,-0.020000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",33706.090000,33705.800000,-0.290000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/BSF,-0.270000,OK ref_date | ecart autre date
100928,101255.640000,101255.640000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101163.630000,101163.630000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100931,103334.020000,103334.020000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",103180.100000,103180.100000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100937,69225.810000,69225.810000,0.000000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",69151.640000,69151.630000,-0.010000,FIX/ZC/AN/AN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/ZC/AN/AN/R/R/BSF",-0.010000,OK les deux dates
