titre;date;valo;prix_arrondi;ecart_prix_arrondi_valo;source_prix_arrondi;source_ecart;profil_metier
9748;26/03/2026;100.41;98.63;-1.78;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
9580;26/03/2026;8342.07;8342.07;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/TRI/TRI/R/360/ORD;REV/AA/TRI/TRI/R/360/ORD
201937;26/03/2026;100455.31;100455.31;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/SEM/FIN/R/360/BDT;FIX/AA/SEM/FIN/R/360/BDT
5151;26/03/2026;100024.48;99775.53;-248.95;table Valorisation;a corriger (table Valorisation) | REV/ZC/TRI/FIN/R/360/FPCT;REV/ZC/TRI/FIN/R/360/FPCT
5122;26/03/2026;40564.44;40564.12;-0.32;table Valorisation;a corriger (table Valorisation) | FIX/ZC/TRI/TRI/R/R/FPCT;FIX/ZC/TRI/TRI/R/R/FPCT
5116;26/03/2026;53193.0;53191.64;-1.36;table Valorisation;a corriger (table Valorisation) | FIX/ZC/TRI/TRI/R/R/FPCT;FIX/ZC/TRI/TRI/R/R/FPCT
5061;26/03/2026;73369.22;73367.52;-1.7;table Valorisation;a corriger (table Valorisation) | FIX/ZC/TRI/TRI/R/R/FPCT;FIX/ZC/TRI/TRI/R/R/FPCT
9714;26/03/2026;100556.88;100557.58;0.7;table Valorisation;a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/OBL;FIX/ZC/AN/AN/R/R/OBL
9240;26/03/2026;27018.08;27020.28;2.2;table Valorisation;a corriger (table Valorisation) | REV/ZC/AN/AN/R/R/ORD;REV/ZC/AN/AN/R/R/ORD
5106;26/03/2026;29757.86;29756.89;-0.97;table Valorisation;a corriger (table Valorisation) | FIX/ZC/TRI/TRI/R/R/FPCT;FIX/ZC/TRI/TRI/R/R/FPCT
101005;26/03/2026;100111.97;100111.97;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/BSF;FIX/ZC/AN/AN/R/R/BSF
9487;26/03/2026;75765.34;75765.36;0.02;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/AN/AN/R/360/OBL;REV/AA/AN/AN/R/360/OBL
9518;26/03/2026;71573.4;71573.36;-0.04;table Valorisation;a corriger (table Valorisation) | FIX/ZC/AN/AN/R/R/OBL;FIX/ZC/AN/AN/R/R/OBL
5119;26/03/2026;47067.32;47067.32;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | REV/AA/TRI/FIN/R/360/FPCT;REV/AA/TRI/FIN/R/360/FPCT
9402;26/03/2026;61299.39;61299.39;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
9461;26/03/2026;34611.36;34611.36;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
9202;26/03/2026;237.37;237.37;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
2151;26/03/2026;6828.93;6828.93;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/ZC/AN/AN/R/R/ORD;FIX/ZC/AN/AN/R/R/ORD
153118;26/03/2026;100173.12;100161.05;-12.07;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/CD;FIX/AA/AN/FIN/R/R/CD
100931;26/03/2026;103334.02;103334.02;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
9091;26/03/2026;108944.38;108918.69;-25.69;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
100954;26/03/2026;100875.49;100875.49;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
100992;26/03/2026;101865.15;101865.15;0.0;table Valorisation;acceptable (tolÃ©rance Â±0,02) | FIX/AA/AN/FIN/R/R/BSF;FIX/AA/AN/FIN/R/R/BSF
201929;26/03/2026;100315.01;100308.86;-6.15;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
201873;26/03/2026;113744.68;107735.81;-6008.87;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9743;26/03/2026;98792.82;98680.9;-111.92;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/ORD;FIX/AA/AN/FIN/R/R/ORD
201914;26/03/2026;97234.26;91163.89;-6070.37;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BDT;FIX/AA/AN/FIN/R/R/BDT
9704;26/03/2026;99971.19;99868.79;-102.4;table Valorisation;a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/OBL;FIX/AA/AN/FIN/R/R/OBL
