code,date,profil,prix_manar,taux_brut_pct,taux_round3,prix_round3,ecart_round3,taux_ceil3,prix_ceil3,ecart_ceil3,prix_grille_moteur,delta_abs,meilleur,degradation_note,preuve_lin,j_lookup,j_pv
200792,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,104155.08,2.23302521,2.233,104155.08173,0.0017,2.234,104154.64039,-0.4396,104155.081727,-0.4379,round3,oui_round_ok_ceil_hors_tol,num_grille,154.0,154
201878,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,103102.81,2.21,2.21,103102.81076,0.0008,2.21,103102.81076,0.0008,103102.810761,0.0,ex_aequo,,num_grille,17.0,17
201906,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,101026.58,2.24529412,2.245,101026.58053,0.0005,2.246,101025.9524,-0.6276,101026.580532,-0.6271,round3,oui_round_ok_ceil_hors_tol,num_grille,227.0,227
201408,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,102456.82,2.23470588,2.235,102456.81882,-0.0012,2.235,102456.81882,-0.0012,102456.818823,0.0,ex_aequo,,num_grille,164.0,164
201657,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,100168.31,2.26961674,2.27,100168.31113,0.0011,2.27,100168.31113,0.0011,100168.311133,0.0,ex_aequo,,num_grille,290.0,290
201848,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,101986.62,2.24058824,2.241,101986.61531,-0.0047,2.241,101986.61531,-0.0047,101986.615306,0.0,ex_aequo,,num_grille,199.0,199
201824,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,103165.01,2.21,2.21,103165.00667,-0.0033,2.21,103165.00667,-0.0033,103165.006669,0.0,ex_aequo,,num_grille,45.0,45
201891,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,102284.1,2.21,2.21,102284.09519,-0.0048,2.21,102284.09519,-0.0048,102284.095192,0.0,ex_aequo,,num_grille,73.0,73
201868,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,100814.26,2.28536632,2.285,100815.1306,0.8706,2.286,100814.25769,-0.0023,100815.130601,0.8683,ceil,non_ceil_rattrape,num_grille,318.0,318
201835,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,102486.61,2.23,2.23,102486.60727,-0.0027,2.23,102486.60727,-0.0027,102486.607271,0.0,ex_aequo,,num_grille,136.0,136
201853,2026-01-02,FIX/AA/AN/FIN/R/R/BDT,101630.27,2.25,2.25,101630.26761,-0.0024,2.25,101630.26761,-0.0024,101630.26761,0.0,ex_aequo,,num_grille,255.0,255
200792,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,104553.24,2.25791209,2.258,104553.23915,-0.0009,2.258,104553.23915,-0.0009,104553.239153,0.0,ex_aequo,,num_grille,91.0,91
201906,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,101398.89,2.29,2.29,101398.8942,0.0042,2.29,101398.8942,0.0042,101398.894203,0.0,ex_aequo,,num_grille,164.0,164
201408,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,102847.31,2.26230769,2.262,102847.31381,0.0038,2.263,102847.02708,-0.2829,102847.313805,-0.2791,round3,oui_round_ok_ceil_hors_tol,num_grille,101.0,101
201657,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,100529.99,2.31857669,2.319,100529.99182,0.0018,2.319,100529.99182,0.0018,100529.991817,0.0,ex_aequo,,num_grille,227.0,227
201848,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,102369.03,2.27769231,2.278,102369.03483,0.0048,2.278,102369.03483,0.0048,102369.034835,0.0,ex_aequo,,num_grille,136.0,136
201891,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,102678.3,2.25,2.25,102678.29606,-0.0039,2.25,102678.29606,-0.0039,102678.296065,0.0,ex_aequo,,num_grille,10.0,10
201868,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,101177.29,2.3334917,2.333,101177.99153,0.7015,2.334,101177.28651,-0.0035,101177.991532,0.698,ceil,non_ceil_rattrape,num_grille,255.0,255
201835,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,102880.61,2.25,2.25,102880.60723,-0.0028,2.25,102880.60723,-0.0028,102880.60723,0.0,ex_aequo,,num_grille,73.0,73
201853,2026-03-06,FIX/AA/AN/FIN/R/R/BDT,101998.81,2.3,2.3,101998.81454,0.0045,2.3,101998.81454,0.0045,101998.814542,0.0,ex_aequo,,num_grille,192.0,192
